kreiskey1871,county1871,rbkey,lat_rad,lon_rad,kmwittenberg,zupreussen,hhsize,gpop,f_prot,f_jew,f_rw,f_miss,f_young,f_fem,f_ortsgeb,f_pruss,f_blind,f_deaf,f_dumb,f_urban,lnpop,lnkmb,poland,latlon,f_over3km,f_mine,inctaxpc,perc_secB,perc_secC,perc_secBnC,lnyteacher,rhs,yteacher,pop,kmb,uni1517,reichsstadt,hansestadt,f_cath,sh_al_in_tot,ncloisters1517_pkm2,school1517,dnpop1500
272,Altona,18,93.48999786,17.52000046,256.8900146,1866,4.303913593,10.40247536,94.22441101,2.719411135,97.1778183,0.297176808,23.10236549,50.39028931,38.86436462,88.09039307,0.069759332,0.030068677,0.119071968,100,11.32831764,5.536979675,0,16.37944794,0.065077208,0.045099806,NA,48.97250748,24.46370506,73.43621063,721.5239868,1,1359.999878,83143.03125,253.9099426,0,1,1,2.864943504,0.5,0,0,0.001725626
273,Diepholz,19,91.81999969,14.60999966,301.1499939,1866,5.232085705,-0.357367247,92.24964142,0.713356733,97.0848999,1.064605117,24.29354095,50.24829483,66.98065186,99.49552155,0.070941553,0.067000352,0.206912875,21.06372833,10.83458805,5.832028866,0,13.41490173,5.543015003,0.032986194,180.5036163,13.49606514,3.100702286,16.59676743,665.168457,0,774.0872192,50746,341.0499268,0,0,0,7.031095982,0.529411793,0.001996672,0,0
274,Hoya,19,92.16999817,15.96000004,258.4100037,1866,4.958925247,-2.096363783,99.19152069,0.385513514,96.0100174,2.589201212,23.25637817,50.06829071,63.65818787,99.43605042,0.050667487,0.04626162,0.187249407,13.13389397,10.72313499,5.668673038,0,14.71033287,5.634399414,0.0053775,204.7115326,15.6646595,3.452355385,19.11701393,674.7429199,0,851.8659668,45393.98828,289.6499329,0,0,0,0.420760453,0.591397822,0.002467613,0,0
275,Nienburg,19,91.87999725,16.06999969,248.0099945,1866,4.902472019,-2.094260931,98.55426788,0.831199527,95.94920349,3.261211157,24.80598831,51.6269455,70.59090424,99.68682861,0.07090801,0.06105968,0.204845384,24.78235245,10.83506107,5.651049614,0,14.76511478,3.075871468,0.234914109,167.0382843,18.58268547,4.057162285,22.6398468,683.8667603,0,933.244873,50770.00781,284.5900269,0,0,0,0.614536107,0.603960395,0.000806452,0,0
276,Stadt Hannover,19,91.40999603,17,204.8500061,1866,5.101653576,18.44712639,89.67658234,2.209389925,98.05574036,0.665203929,18.33816528,47.72213745,38.24892044,96.68591309,0.144934148,0.039942484,0.060484331,100,11.38083267,5.519458771,0,15.53969955,0.553376317,0.08097969,NA,38.70994568,19.4632206,58.17316055,716.8035278,1,1297.293335,87625.96875,249.4999695,0,0,1,7.730582237,1,0.125,1,0.0025
277,Landkreis Hannover (incl Linden),19,91.40999603,17,204.8500061,1866,4.88970232,11.4061985,95.99584198,0.539643526,94.72296143,2.450612783,24.46878815,49.17367172,53.81595612,98.47010803,0.051266141,0.052615248,0.420921981,28.93029213,11.21348095,5.519458771,0,15.53969955,0.288659781,0.785255551,210.8140717,38.65022278,5.844892025,44.49511337,679.87677,1,896.7415771,74122.98438,249.4999695,0,0,1,3.386263609,0.6171875,0,0,0
278,Wennigsen,19,91.23999786,16.70999908,213.6000061,1866,4.547049999,1.934637666,98.181427,0.969332993,93.71417236,2.425937653,24.85953331,50.81707382,65.13617706,99.4810257,0.087926231,0.04717993,0.15655157,18.15140533,10.74999905,5.568916798,0,15.24620342,0.006339546,7.969213009,215.4568481,37.52270508,4.206903458,41.72961044,688.7162476,0,979.6177979,46629.98438,262.1499939,0,0,0,0.847094119,0.615384638,0.003257329,0,0
279,Hameln,19,90.94000244,16.32999992,225.3899994,1866,4.566140175,0.515651584,97.98821259,0.953588009,94.87041473,2.087880373,23.49367332,50.67696381,65.33686829,98.17127991,0.08047156,0.058341883,0.21727322,19.84227562,10.81390095,5.633467197,0,14.85050201,0,1.181886554,178.72258,31.37532806,5.971404552,37.34672928,682.2037354,0,917.8530884,49706.99609,279.6299744,0,0,0,1.040094972,0.683673441,0.001550388,0,0
280,Hildesheim,20,91.02999878,17.37000084,185.6600037,1803,4.545153618,2.121577501,69.59793091,1.211876035,93.272995,0.992474437,21.09538078,50.2208519,59.15702438,98.76223755,0.084135592,0.184451103,1.18437016,43.79904556,11.03173923,5.475081921,0,15.81191158,0.47499302,2.644862413,225.8899689,34.25627899,8.400979996,42.65726089,693.984375,1,1032.608887,61804.98047,238.6700134,0,0,1,29.14165497,0.647058845,0.036036037,1,0.0002002
281,Marienburg b. H.,20,91.02999878,17.37000084,185.6600037,1866,4.38585043,-2.346106529,79.58662415,0.476680785,88.08346558,1.907770157,24.54143333,51.67982483,65.02307129,99.32883453,0.074362203,0.083895817,0.291728616,13.6788311,10.86753941,5.475081921,0,15.81191158,1.958997726,0.192694724,253.6962585,33.13492966,5.365477562,38.50040817,677.1849365,0,872.9247437,52446.00391,238.6700134,0,0,0,19.89665604,0.5625,0.001461988,0,0
282,Liebenburg,20,90.80000305,18.20999908,151.1999969,1866,4.263234615,0.756063879,87.78234863,0.211404398,89.26686096,1.459257245,23.12688065,50.93132401,61.73199463,98.68206024,0.081895404,0.095227212,0.21711804,20.53860474,10.86868286,5.347869396,0,16.53467941,1.395348787,1.968069911,244.2425537,31.75860596,7.047487259,38.80609131,686.2350464,0,955.6105347,52506.00781,210.1600494,0,0,0,11.87483406,0.584269643,0.020472441,0,0.000188976
283,Osterode a. H.,20,90.27999878,17.88999939,164.0500031,1866,4.349245071,-2.012112379,63.17214966,0.273998201,92.21614838,3.367177725,24.86845016,53.69741821,81.15016937,99.79294586,0.091851667,0.082510822,0.186816946,26.26023674,11.0702877,5.451810837,0,16.15109253,0.273145497,0.670064926,154.8993073,37.4948616,6.186796188,43.68165588,683.3161621,0,928.1205444,64233.98438,233.1800385,0,0,0,36.54139709,0.547945201,0.001481481,0,0
284,Gottingen,20,89.94000244,17.34000015,189.2599945,1805,4.463627338,2.988730431,95.5791626,1.174513817,94.21794891,2.63750267,22.22238541,50.95201111,65.74797058,98.75691223,0.090459451,0.109426744,0.678445876,34.62554169,11.13515854,5.568878651,0,15.59559536,0.143678159,0.098683193,158.7970123,31.34733391,8.431245804,39.77857971,679.1110229,1,889.901001,68539.02344,262.1399841,0,1,1,3.145654202,0.601626039,0.005882353,1,8.24E-05
285,Einbeck,20,90.44000244,17.21999931,189.6399994,1866,4.649006844,-3.545506239,96.84441376,1.001796126,87.40028381,2.897778511,24.44568253,50.9754715,71.79177094,99.36672211,0.080515295,0.099095747,0.188901275,26.92152786,11.07572174,5.537885189,0,15.57376671,0.213725954,0.506879091,171.0540771,27.02665329,5.641184807,32.66783905,675.9300537,1,862.0390015,64583.98438,254.1399689,0,0,1,2.002043724,0.586466193,0.007996002,1,7.00E-05
286,Zellerfeld,20,90.59999847,18.19999886,157.5700073,1866,4.030465603,-2.867663383,99.46697235,0.062033314,92.4406662,1.075139999,23.2831707,51.42561722,75.2877655,99.05570984,0.103388853,0.091901205,0.261918426,62.64675522,10.68109035,5.4142766,0,16.48920059,1.044932127,29.98760796,179.665451,52.84442902,6.173256874,59.01768875,692.9539185,0,1022.022888,43524.98047,224.5900116,0,0,0,0.431935668,0.725000024,0.002470661,0,0
288,Celle,21,91.84999847,17.60000038,192.3800049,1866,4.583735943,-0.100612968,97.49763489,0.472582459,97.03156281,1.007551789,20.80137634,49.51734543,58.37865448,99.3755722,0.069725282,0.04183517,0.218472555,29.67353058,11.0750246,5.417921066,0,16.16559982,2.080323696,0.282709152,204.2835541,24.05155563,6.082806587,30.13436127,698.8720703,0,1084.333374,64538.97656,225.4100189,0,0,0,1.986395717,0.573170722,0.00107498,1,5.37E-06
289,Gifhorn,21,91.59999847,18.40999985,157.3300018,1866,4.677730083,-0.124259785,99.08438873,0.060263213,93.76537323,1.180614114,21.62283134,49.97958755,62.47351074,99.01051331,0.044711418,0.060263213,0.194397464,8.49516964,10.84819126,5.268630981,0,16.86355972,1.367454529,1.861781955,192.0144348,20.65119362,2.865599871,23.5167942,673.7901611,0,843.788269,51441.02344,194.1499786,0,0,0,0.573472559,0.479999989,0.00108313,0,0
290,Fallingbostel,21,92.26999664,16.92000008,227.6499939,1866,4.840529442,-1.410983086,99.21900177,0.271566778,94.23406982,0.764976501,23.2992382,50.21209717,57.76839447,99.60553741,0.069378369,0.067396127,0.188312709,8.474072456,10.82869816,5.53516674,0,15.61208344,4.594594479,0.022384385,217.2077179,18.42682457,3.532255888,21.95908165,671.8001099,0,827.1624146,50447.98828,253.4500427,0,0,0,0.485648572,0.590643287,0,0,0
291,Uelzen,21,92.43999481,18.43000031,185.4600067,1866,4.618668556,1.552343249,99.34647369,0.147713795,93.22544098,0.497231305,20.78064537,49.75716782,52.8837738,99.39124298,0.064904548,0.046999842,0.185761288,15.72928047,10.707304,5.2892766,0,17.03669167,4.127714634,0.038784117,209.6181641,17.7340374,5.837009907,23.57104683,679.0910034,0,889.7229004,44681.01563,198.1999969,0,0,0,0.492379308,0.521551728,0.000682827,1,0
292,Dannenberg,21,92.68000031,19.37000084,171.3899994,1866,4.422943592,-1.439752936,99.35521698,0.222214133,92.11941528,1.380295157,19.63680649,50.97082138,54.35503006,99.08746338,0.09107136,0.069214232,0.194892719,10.63167095,10.91330528,5.126282692,0,17.95211601,11.73402882,0.012510425,200.9646454,16.63469505,4.095079422,20.72977448,680.925354,0,906.1940918,54902.01172,168.3899994,0,0,0,0.360642612,0.484149843,0,0,0
293,Luneburg,21,92.94000244,18.17000008,214.2100067,1866,4.698217392,0.414701939,98.50737,0.360579431,94.12252045,0.772477508,21.0268116,49.32810593,54.69487381,98.65201569,0.079662897,0.037735056,0.226410344,34.14393997,10.77270794,5.380542278,0,16.88719749,2.599580765,1.09375,224.2952271,25.99662209,7.124155998,33.12077713,724.8237305,1,1405.625,47701.01563,217.1399994,0,0,1,0.941280067,0.57718122,0.003700278,1,0.000111008
294,Harburg,21,93.48999786,17.52000046,256.8900146,1866,4.988396645,4.877504826,98.09094238,0.330468327,95.33937836,1.37219429,20.82517815,48.09945297,55.56690216,97.46546173,0.053896122,0.066660993,0.225512728,27.28136635,11.1634531,5.536979675,0,16.37944794,1.085044026,0.003057169,215.8658752,28.69764519,9.801283836,38.49892807,730.8937378,1,1493.589233,70506,253.9099426,0,1,1,1.195642948,0.530120492,0,0,0
